Team	Pos.	No.	Name	Height	Weight	DOB (YYYY-MM-DD)	From	Heightx	xxHeight	Height
Pacers	G	26	Sheppard, Ben	6 ft 6 in (1.98 m)	190 lb (86 kg)	7/16/2001	Belmont	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Pacers	F/C	25	Smith, Jalen	6 ft 10 in (2.08 m)	215 lb (98 kg)	3/16/2000	Maryland	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Pacers	C	27	Theis, Daniel	6 ft 9 in (2.06 m)	245 lb (111 kg)	4/4/1992	Germany	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Pacers	F	1	Toppin, Obi	6 ft 9 in (2.06 m)	220 lb (100 kg)	3/4/1998	Dayton	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Pacers	C	44	Tshiebwe, Oscar (TW)	6 ft 9 in (2.06 m)	260 lb (118 kg)	11/27/1999	Kentucky	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Pacers	C	33	Turner, Myles	6 ft 11 in (2.11 m)	250 lb (113 kg)	3/24/1996	Texas	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Pacers	F	5	Walker, Jarace	6 ft 8 in (2.03 m)	240 lb (109 kg)	9/4/2003	Houston	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Pacers	G	21	Wong, Isaiah (TW)	6 ft 4 in (1.93 m)	185 lb (84 kg)	1/28/2001	Miami 	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Bucks	G	3	Allen, Grayson	6 ft 4 in (1.93 m)	198 lb (90 kg)	10/8/1995	Duke	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Bucks	F	34	Antetokounmpo, Giannis	7 ft 0 in (2.13 m)	243 lb (110 kg)	12/6/1994	Greece	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Bucks	F	43	Antetokounmpo, Thanasis	6 ft 7 in (2.01 m)	219 lb (99 kg)	7/18/1992	Greece	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Bucks	G	5	Beasley, Malik	6 ft 4 in (1.93 m)	187 lb (85 kg)	11/26/1996	Florida State	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Bucks	F	0	Beauchamp, MarJon	6 ft 7 in (2.01 m)	199 lb (90 kg)	10/12/2000	Yakima Valley	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Bucks	G	24	Connaughton, Pat	6 ft 5 in (1.96 m)	209 lb (95 kg)	1/6/1993	Notre Dame	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bucks	F	99	Crowder, Jae	6 ft 6 in (1.98 m)	235 lb (107 kg)	7/6/1990	Marquette	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bucks	G	20	Green, A. J.	6 ft 5 in (1.96 m)	190 lb (86 kg)	9/27/1999	Northern Iowa	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bucks	G	21	Holiday, Jrue	6 ft 5 in (1.96 m)	205 lb (93 kg)	6/12/1990	UCLA	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Bucks	G	44	Jackson, Andre Jr.	6 ft 6 in (1.98 m)	209 lb (95 kg)	11/13/2001	Connecticut	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bucks	F	7	Livingston, Chris	6 ft 6 in (1.98 m)	220 lb (100 kg)	10/15/2003	Kentucky	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bucks	C	11	Lopez, Brook	7 ft 1 in (2.16 m)	282 lb (128 kg)	4/1/1988	Stanford	7 ft 1 in (2.16 m)	7 ft 1	7' 1"
Bucks	C	42	Lopez, Robin	7 ft 0 in (2.13 m)	281 lb (127 kg)	4/1/1988	Stanford	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Bucks	F	22	Middleton, Khris	6 ft 7 in (2.01 m)	222 lb (101 kg)	8/12/1991	Texas A&M	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Bucks	G	18	Moore, Omari (TW)	6 ft 6 in (1.98 m)	195 lb (88 kg)	9/18/2000	San José State	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Bucks	F/C	9	Portis, Bobby	6 ft 11 in (2.11 m)	250 lb (113 kg)	2/10/1995	Arkansas	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Bucks	G	23	Washington, TyTy Jr. (TW)	6 ft 3 in (1.91 m)	195 lb (88 kg)	11/15/2001	Kentucky	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Bucks	G	28	Wigginton, Lindell (TW)	6 ft 1 in (1.85 m)	189 lb (86 kg)	3/28/1998	Iowa State	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Hawks	F	41	Bey, Saddiq	6 ft 7 in (2.01 m)	215 lb (98 kg)	4/9/1999	Villanova	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hawks	G	13	Bogdanović, Bogdan	6 ft 5 in (1.96 m)	225 lb (102 kg)	8/18/1992	Serbia	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hawks	G	4	Bufkin, Kobe	6 ft 5 in (1.96 m)	195 lb (88 kg)	9/21/2003	Michigan	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hawks	C	15	Capela, Clint	6 ft 10 in (2.08 m)	256 lb (116 kg)	5/18/1994	Switzerland	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Hawks	F/C	24	Fernando, Bruno	6 ft 10 in (2.08 m)	240 lb (109 kg)	8/15/1998	Maryland	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Hawks	F	14	Griffin, AJ	6 ft 6 in (1.98 m)	222 lb (101 kg)	8/25/2003	Duke	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Hawks	F	18	Gueye, Mouhamed	6 ft 11 in (2.11 m)	210 lb (95 kg)	11/9/2002	Washington State	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Hawks	G/F	12	Hunter, De'Andre	6 ft 8 in (2.03 m)	221 lb (100 kg)	12/2/1997	Virginia	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Hawks	F	1	Johnson, Jalen	6 ft 8 in (2.03 m)	219 lb (99 kg)	12/18/2001	Duke	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Hawks	F	8	Lundy, Seth (TW)	6 ft 6 in (1.98 m)	220 lb (100 kg)	4/2/2000	Penn State	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Hawks	G	25	Mathews, Garrison	6 ft 6 in (1.98 m)	215 lb (98 kg)	10/24/1996	Lipscomb	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Hawks	G/F	—	Matthews, Wesley	6 ft 5 in (1.96 m)	220 lb (100 kg)	10/14/1986	Marquette	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hawks	G	—	Mills, Patty	6 ft 0 in (1.83 m)	180 lb (82 kg)	8/11/1988	Saint Mary's	6 ft 0 in (1.83 m)	6 ft 0	6' 0"
Hawks	G	5	Murray, Dejounte	6 ft 5 in (1.96 m)	180 lb (82 kg)	9/19/1996	Washington	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hawks	F	0	Norris, Miles (TW)	6 ft 10 in (2.08 m)	220 lb (100 kg)	4/15/2000	UC Santa Barbara	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Hawks	F/C	17	Okongwu, Onyeka	6 ft 9 in (2.06 m)	240 lb (109 kg)	12/11/2000	USC	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Hawks	G	11	Young, Trae	6 ft 1 in (1.85 m)	164 lb (74 kg)	9/19/1998	Oklahoma	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Hornets	F	—	Allegri, Angelo	6 ft 7 in (2.01 m)	215 lb (98 kg)	4/28/1999	Eastern Washington	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	G	17	Bailey, Amari (TW)	6 ft 5 in (1.96 m)	185 lb (84 kg)	2/17/2004	UCLA	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hornets	G	1	Ball, LaMelo 	6 ft 7 in (2.01 m)	180 lb (82 kg)	8/22/2001	SPIRE Academy (OH)	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	F	—	Black, Leaky (TW)	6 ft 9 in (2.06 m)	209 lb (95 kg)	6/14/1999	North Carolina	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Hornets	G	2	Bouknight, James	6 ft 4 in (1.93 m)	190 lb (86 kg)	9/18/2000	Connecticut	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Hornets	F	0	Bridges, Miles	6 ft 7 in (2.01 m)	225 lb (102 kg)	3/21/1998	Michigan State	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	F	20	Hayward, Gordon	6 ft 7 in (2.01 m)	225 lb (102 kg)	3/23/1990	Butler	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	F/C	23	Jones, Kai	6 ft 11 in (2.11 m)	221 lb (100 kg)	1/19/2001	Texas	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Hornets	F	11	Martin, Cody 	6 ft 6 in (1.98 m)	205 lb (93 kg)	9/28/1995	Nevada	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Hornets	G	7	McGowens, Bryce	6 ft 7 in (2.01 m)	179 lb (81 kg)	11/8/2002	Nebraska	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	F/C	—	Mensah, Nathan	6 ft 10 in (2.08 m)	230 lb (104 kg)	4/9/1998	San Diego State	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Hornets	G/F	24	Miller, Brandon	6 ft 9 in (2.06 m)	200 lb (91 kg)	11/22/2002	Alabama	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Hornets	C	46	Nnaji, James (DP)	6 ft 11 in (2.11 m)	250 lb (113 kg)	8/14/2004	Nigeria	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Hornets	G	—	Ntilikina, Frank	6 ft 4 in (1.93 m)	200 lb (91 kg)	7/28/1998	France	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Hornets	C	4	Richards, Nick	7 ft 0 in (2.13 m)	245 lb (111 kg)	11/29/1997	Kentucky	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Hornets	G	3	Rozier, Terry	6 ft 1 in (1.85 m)	190 lb (86 kg)	3/17/1994	Louisville	6 ft 1 in (1.85 m)	6 ft 1	6' 1"
Hornets	F	—	Scott, Trevon	6 ft 8 in (2.03 m)	225 lb (102 kg)	11/25/1996	Cincinnati	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Hornets	G/F	—	Sims, Jaylen	6 ft 6 in (1.98 m)	210 lb (95 kg)	12/11/1998	UNC Wilmington	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Hornets	G	0	Smith, Nick Jr.	6 ft 5 in (1.96 m)	185 lb (84 kg)	4/18/2004	Arkansas	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Hornets	F	21	Thor, JT	6 ft 9 in (2.06 m)	203 lb (92 kg)	8/26/2002	Auburn	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Hornets	F	25	Washington, P. J.	6 ft 7 in (2.01 m)	230 lb (104 kg)	8/23/1998	Kentucky	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Hornets	C	5	Williams, Mark	7 ft 0 in (2.13 m)	242 lb (110 kg)	12/16/2001	Duke	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Heat	F/C	13	Adebayo, Bam	6 ft 9 in (2.06 m)	255 lb (116 kg)	7/18/1997	Kentucky	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Heat	G	—	Bouyea, Jamaree (TW)	6 ft 2 in (1.88 m)	180 lb (82 kg)	6/27/1999	San Francisco	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Heat	C	—	Bryant, Thomas	6 ft 10 in (2.08 m)	248 lb (112 kg)	7/31/1997	Indiana	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Heat	F	22	Butler, Jimmy	6 ft 7 in (2.01 m)	230 lb (104 kg)	9/14/1989	Marquette	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Heat	F	8	Cain, Jamal (TW)	6 ft 7 in (2.01 m)	191 lb (87 kg)	3/20/1999	Oakland	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Heat	G/F	—	Champagnie, Justin	6 ft 7 in (2.01 m)	206 lb (93 kg)	6/29/2001	Pittsburgh	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Heat	G	—	Daniels, Caleb	6 ft 4 in (1.93 m)	210 lb (95 kg)	5/17/1999	Villanova	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Heat	G	14	Herro, Tyler	6 ft 5 in (1.96 m)	195 lb (88 kg)	1/20/2000	Kentucky	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Heat	F	24	Highsmith, Haywood	6 ft 5 in (1.96 m)	220 lb (100 kg)	12/9/1996	Wheeling	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Heat	G/F	11	Jaquez, Jaime Jr.	6 ft 7 in (2.01 m)	225 lb (102 kg)	2/18/2001	UCLA	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Heat	F	5	Jović, Nikola	6 ft 10 in (2.08 m)	205 lb (93 kg)	6/9/2003	Serbia	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Heat	F/C	42	Love, Kevin	6 ft 8 in (2.03 m)	251 lb (114 kg)	9/7/1988	UCLA	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Heat	G	7	Lowry, Kyle	6 ft 0 in (1.83 m)	196 lb (89 kg)	3/25/1986	Villanova	6 ft 0 in (1.83 m)	6 ft 0	6' 0"
Heat	F	16	Martin, Caleb	6 ft 5 in (1.96 m)	205 lb (93 kg)	9/28/1995	Nevada	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Heat	F	—	Peterson, Drew	6 ft 8 in (2.03 m)	192 lb (87 kg)	11/9/1999	USC	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Heat	G/F	—	Richardson, Josh	6 ft 6 in (1.98 m)	200 lb (91 kg)	9/15/1993	Tennessee	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Heat	G/F	55	Robinson, Duncan	6 ft 7 in (2.01 m)	215 lb (98 kg)	4/22/1994	Michigan	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Heat	F/C	25	Robinson, Orlando	6 ft 10 in (2.08 m)	235 lb (107 kg)	7/10/2000	Fresno State	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Heat	G	9	Smith, Dru (TW)	6 ft 3 in (1.91 m)	203 lb (92 kg)	12/30/1997	Missouri	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Heat	F	—	Swider, Cole	6 ft 9 in (2.06 m)	220 lb (100 kg)	5/8/1999	Syracuse	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Heat	G	—	Williams, Alondes	6 ft 4 in (1.93 m)	210 lb (95 kg)	6/19/1999	Wake Forest	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Magic	G	50	Anthony, Cole	6 ft 3 in (1.91 m)	185 lb (84 kg)	5/15/2000	North Carolina	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Magic	F	5	Banchero, Paolo	6 ft 10 in (2.08 m)	250 lb (113 kg)	11/12/2002	Duke	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Magic	G	0	Black, Anthony	6 ft 7 in (2.01 m)	200 lb (91 kg)	1/24/2004	Arkansas	6 ft 7 in (2.01 m)	6 ft 7	6' 7"
Magic	C	35	Bitadze, Goga	6 ft 11 in (2.11 m)	250 lb (113 kg)	7/20/1999	Georgia	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Magic	C	34	Carter, Wendell Jr.	6 ft 10 in (2.08 m)	270 lb (122 kg)	4/16/1999	Duke	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Magic	G	20	Fultz, Markelle	6 ft 4 in (1.93 m)	209 lb (95 kg)	5/29/1998	Washington	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Magic	G	14	Harris, Gary	6 ft 4 in (1.93 m)	210 lb (95 kg)	9/14/1994	Michigan State	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Magic	G	8	Harris, Kevon (TW)	6 ft 6 in (1.98 m)	216 lb (98 kg)	6/24/1997	Stephen F. Austin	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Magic	F	2	Houstan, Caleb	6 ft 8 in (2.03 m)	205 lb (93 kg)	1/9/2003	Michigan	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Magic	F	13	Howard, Jett	6 ft 8 in (2.03 m)	215 lb (98 kg)	9/14/2003	Michigan	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Magic	G/F	7	Ingles, Joe	6 ft 9 in (2.06 m)	220 lb (100 kg)	10/2/1987	Australia	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Magic	F	1	Isaac, Jonathan 	6 ft 10 in (2.08 m)	230 lb (104 kg)	10/3/1997	Florida State	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Magic	F	3	Okeke, Chuma	6 ft 8 in (2.03 m)	229 lb (104 kg)	8/18/1998	Auburn	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Magic	F	25	Schofield, Admiral (TW)	6 ft 5 in (1.96 m)	241 lb (109 kg)	3/30/1997	Tennessee	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Magic	G	4	Suggs, Jalen	6 ft 5 in (1.96 m)	205 lb (93 kg)	6/3/2001	Gonzaga	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
Magic	F	22	Wagner, Franz	6 ft 10 in (2.08 m)	220 lb (100 kg)	8/27/2001	Michigan	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Magic	F/C	21	Wagner, Moritz	6 ft 11 in (2.11 m)	245 lb (111 kg)	4/26/1997	Michigan	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Wizards	F	8	Avdija, Deni	6 ft 9 in (2.06 m)	210 lb (95 kg)	1/3/2001	Israel	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Wizards	F	7	Baldwin, Patrick Jr. 	6 ft 9 in (2.06 m)	215 lb (98 kg)	11/18/2002	Milwaukee	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Wizards	G	—	Butler, Jared (TW)	6 ft 3 in (1.91 m)	193 lb (88 kg)	8/25/2000	Baylor	6 ft 3 in (1.91 m)	6 ft 3	6' 3"
Wizards	F	12	Cooks, Xavier	6 ft 8 in (2.03 m)	183 lb (83 kg)	8/19/1995	Winthrop	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Wizards	F	0	Coulibaly, Bilal (DP)	6 ft 6 in (1.98 m)	195 lb (88 kg)	7/26/2004	France	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Wizards	G	1	Davis, Johnny	6 ft 4 in (1.93 m)	195 lb (88 kg)	2/27/2002	Wisconsin	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Wizards	C	21	Gafford, Daniel	6 ft 10 in (2.08 m)	234 lb (106 kg)	10/1/1998	Arkansas	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Wizards	F	88	Gallinari, Danilo	6 ft 10 in (2.08 m)	236 lb (107 kg)	8/8/1988	Italy	6 ft 10 in (2.08 m)	6 ft 10	6' 10"
Wizards	F	16	Gill, Anthony	6 ft 8 in (2.03 m)	230 lb (104 kg)	10/17/1992	Virginia	6 ft 8 in (2.03 m)	6 ft 8	6' 8"
Wizards	G	5	Jones, Tyus	6 ft 2 in (1.88 m)	196 lb (89 kg)	5/10/1996	Duke	6 ft 2 in (1.88 m)	6 ft 2	6' 2"
Wizards	F	24	Kispert, Corey	6 ft 6 in (1.98 m)	224 lb (102 kg)	3/3/1999	Gonzaga	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Wizards	F	33	Kuzma, Kyle 	6 ft 9 in (2.06 m)	221 lb (100 kg)	7/24/1995	Utah	6 ft 9 in (2.06 m)	6 ft 9	6' 9"
Wizards	F/C	35	Muscala, Mike	6 ft 11 in (2.11 m)	240 lb (109 kg)	7/1/1991	Bucknell	6 ft 11 in (2.11 m)	6 ft 11	6' 11"
Wizards	F	—	Omoruyi, Eugene (TW)	6 ft 6 in (1.98 m)	235 lb (107 kg)	2/14/1997	Oregon	6 ft 6 in (1.98 m)	6 ft 6	6' 6"
Wizards	G	13	Poole, Jordan	6 ft 4 in (1.93 m)	194 lb (88 kg)	6/19/1999	Michigan	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Wizards	G	9	Rollins, Ryan 	6 ft 4 in (1.93 m)	180 lb (82 kg)	7/3/2002	Toledo	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Wizards	G	20	Shamet, Landry	6 ft 4 in (1.93 m)	190 lb (86 kg)	3/13/1997	Wichita State	6 ft 4 in (1.93 m)	6 ft 4	6' 4"
Wizards	F/C	0	Vukčević, Tristan (DP)	7 ft 0 in (2.13 m)	223 lb (101 kg)	3/11/2003	Serbia	7 ft 0 in (2.13 m)	7 ft 0	7' 0"
Wizards	G	55	Wright, Delon	6 ft 5 in (1.96 m)	185 lb (84 kg)	4/26/1992	Utah	6 ft 5 in (1.96 m)	6 ft 5	6' 5"
